Year,Units,Вид частиц РМ,Регионы,Город,GeoCode,Value
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,,,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,,,0.02
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,,,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Кокшетау,,0.002
2017,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Кокшетау,,0.002
2018,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Кокшетау,,0.0023
2015,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Степногорск,,0.006
2016,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Степногорск,,0.006
2017,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Степногорск,,0.002
2014,мг/метр куб,"взвешенные частицы РМ-2,5",,СКФМ «Боровое»,,0.0648
2015,мг/метр куб,"взвешенные частицы РМ-2,5",,СКФМ «Боровое»,,0.026
2016,мг/метр куб,"взвешенные частицы РМ-2,5",,СКФМ «Боровое»,,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",,СКФМ «Боровое»,,0.02
2018,мг/метр куб,"взвешенные частицы РМ-2,5",,СКФМ «Боровое»,,0.048
2014,мг/метр куб,"взвешенные частицы РМ-2,5",,ЩБКЗ,,0.0549
2015,мг/метр куб,"взвешенные частицы РМ-2,5",,ЩБКЗ,,0.07400000000000001
2016,мг/метр куб,"взвешенные частицы РМ-2,5",,ЩБКЗ,,0.03
2017,мг/метр куб,"взвешенные частицы РМ-2,5",,ЩБКЗ,,0.02
2018,мг/метр куб,"взвешенные частицы РМ-2,5",,ЩБКЗ,,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",,п_Сарыбулак,,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",,п_Сарыбулак,,0.01
2018,мг/метр куб,"взвешенные частицы РМ-2,5",,п_Сарыбулак,,0.01
2015,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Актобе,,0.018000000000000002
2016,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Актобе,,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Актобе,,0.02
2018,мг/метр куб,"взвешенные частицы РМ-2,5",,г_Актобе,,0.017
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,,,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,,,0.009000000000000001
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,,,0.015
2015,мг/метр куб,,,г_Атырау,,0.014
2016,мг/метр куб,,,г_Атырау,,0.003
2017,мг/метр куб,,,г_Атырау,,0.01
2018,мг/метр куб,,,г_Атырау,,0.01
2015,мг/метр куб,,,г_Семей,,0.024
2016,мг/метр куб,,,г_Семей,,0.035
2017,мг/метр куб,,,г_Семей,,0.03
2018,мг/метр куб,,,г_Семей,,0.025
2015,мг/метр куб,,,п_Глубокое,,0.0175
2016,мг/метр куб,,,п_Глубокое,,0.0398
2017,мг/метр куб,,,п_Глубокое,,0.019
2018,мг/метр куб,,,п_Глубокое,,0.0328
2016,мг/метр куб,,,г_Зыряновск,,0.0003
2017,мг/метр куб,,,г_Зыряновск,,0.01
2018,мг/метр куб,,,г_Зыряновск,,1e-05
2015,мг/метр куб,,,г_Жанатас,,0.011
2016,мг/метр куб,,,г_Жанатас,,0.01
2017,мг/метр куб,,,г_Жанатас,,0.01
2018,мг/метр куб,,,г_Жанатас,,0.017
