Year,Units,Местность,Пол,Регионы,Возраст,Образование,Квинтиль индекса благосостояния,национальность,Value
2010,процент,,,,,,,,86.0
2015,процент,,,,,,,,85.0
2010,процент,городская местность,,,,,,,87.2
2015,процент,городская местность,,,,,,,86.0
2010,процент,сельская местность,,,,,,,85.1
2015,процент,сельская местность,,,,,,,85.1
2010,процент,,мужчины,,,,,,83.5
2015,процент,,мужчины,,,,,,84.8
2010,процент,,женщины,,,,,,89.0
2015,процент,,женщины,,,,,,86.3
2010,процент,,,Акмолинская,,,,,80.3
2015,процент,,,Акмолинская,,,,,81.0
2010,процент,,,Актюбинская,,,,,69.0
2015,процент,,,Актюбинская,,,,,95.0
2010,процент,,,Алматинская,,,,,91.1
2015,процент,,,Алматинская,,,,,96.8
2010,процент,,,Атырауская,,,,,89.3
2015,процент,,,Атырауская,,,,,82.0
2010,процент,,,Западно-Казахстанская,,,,,85.0
2015,процент,,,Западно-Казахстанская,,,,,86.6
2010,процент,,,Жамбылская,,,,,83.0
2015,процент,,,Жамбылская,,,,,79.4
2010,процент,,,Карагандинская,,,,,92.3
2015,процент,,,Карагандинская,,,,,80.6
2010,процент,,,Костанайская,,,,,92.4
2015,процент,,,Костанайская,,,,,92.5
2010,процент,,,Кызылординская,,,,,92.0
2015,процент,,,Кызылординская,,,,,88.6
2010,процент,,,Мангистауская,,,,,87.4
2015,процент,,,Мангистауская,,,,,79.5
2010,процент,,,Южно-Казахстанская,,,,,81.5
2015,процент,,,Южно-Казахстанская,,,,,82.2
2010,процент,,,Павлодарская,,,,,90.6
2015,процент,,,Павлодарская,,,,,88.5
2010,процент,,,Северо-Казахстанская,,,,,86.5
2015,процент,,,Северо-Казахстанская,,,,,83.5
2010,процент,,,Восточно-Казахстанская,,,,,83.2
2015,процент,,,Восточно-Казахстанская,,,,,84.2
2010,процент,,,г.Нур-Султан,,,,,96.0
2015,процент,,,г.Нур-Султан,,,,,84.5
2010,процент,,,г.Алматы,,,,,89.0
2015,процент,,,г.Алматы,,,,,90.8
2010,процент,,,,36-47 месяцев,,,,82.9
2015,процент,,,,36-47 месяцев,,,,81.4
2010,процент,,,,48-59 месяцев,,,,89.4
2015,процент,,,,48-59 месяцев,,,,90.0
2010,процент,,,,,начальное/не законченное среднее,,,82.1
2010,процент,,,,,основное среднее,,,81.3
2015,процент,,,,,основное среднее,,,85.9
2010,процент,,,,,общее среднее,,,88.9
2015,процент,,,,,общее среднее,,,82.0
2015,процент,,,,,техническое и профессиональное,,,85.2
2010,процент,,,,,высшее,,,89.9
2015,процент,,,,,высшее,,,87.9
2010,процент,,,,,,беднейший,,83.3
2015,процент,,,,,,беднейший,,87.2
2010,процент,,,,,,второй,,82.8
2015,процент,,,,,,второй,,82.4
2010,процент,,,,,,средний,,88.6
2015,процент,,,,,,средний,,83.2
2010,процент,,,,,,четвертый,,85.3
2015,процент,,,,,,четвертый,,87.3
2010,процент,,,,,,богатейший,,92.1
2015,процент,,,,,,богатейший,,87.9
2010,процент,,,,,,,казахи,86.2
2015,процент,,,,,,,казахи,86.2
2010,процент,,,,,,,русские,88.8
2015,процент,,,,,,,русские,87.0
2010,процент,,,,,,,другие,83.0
2015,процент,,,,,,,другие,82.0
