Year,Units,Период времени,Вид насилия,Value
2015,Процентах,в течение жизни,физическое насилие,16.2
2015,Процентах,в течение жизни,сексуальное насилие,3.6
2015,Процентах,в течение жизни,,16.5
2015,Процентах,в последние 12 месяцев,физическое насилие,4.5
2015,Процентах,в последние 12 месяцев,сексуальное насилие,1.0
2015,Процентах,в последние 12 месяцев,,4.7
2015,Процентах,в течение жизни,физическое насилие,16.0
2015,Процентах,в течение жизни,сексуальное насилие,3.9
2015,Процентах,в течение жизни,,16.4
2015,Процентах,в последние 12 месяцев,физическое насилие,5.3
2015,Процентах,в последние 12 месяцев,сексуальное насилие,1.2
2015,Процентах,в последние 12 месяцев,,5.6
